Text,labels,Hate Speech,Abusive Speech,SARA,Radicalism,Defamation
eh tetek ganjel larang mobil pas macet tanjak biar hidup guna dikit hidup,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
masyarakat papua barat merdeka tangkap gituh merek eksekusi bodoh iya weh papua barat adik merdeka ge asup negara indonesia ge nambah derit keur masyarakat na sorang,"['Hate Speech', 'SARA', 'Radicalism']",1,0,1,1,0
nohope negara desak gantipresiden nsedang presiden desak angkathonorerjadipns nmemangnya nyuruh hah tertawa nsemua bisa nuntut nuntut nsemua bisa desak desak ntaek kotor anjing tertawa,[],0,0,0,0,0
alahuakbar alah rasululah sahabat tabin tega khilafah jamin hidup umat islam,"['Hate Speech', 'Radicalism']",1,0,0,1,0
pantek induak laki amak ang adik ang mentang mentang namonyo ayah amak mintuo laki bini perai ntapi iya jo tu mah nang idu lancik baruak ciek,"['Hate Speech', 'Defamation']",1,0,0,0,1
ncontoh aceh madura agama hancur timur nbabi nusantara isi orang tolol kuadrat arti maju nrata isi orang bodoh ulang tolol nmereka harap ulang tolol terus negara maju,"['Hate Speech', 'Defamation']",1,0,0,0,1
penis oles urut minyak lintah papua asli bukti besar panjang penis minyak lintah papua asli minyak lintah papua kenal turun turun bantu khasiat panjang ukur penis besar diameter penis obat luka bakar knalpot oles lancar sirkulasi darah obat lemah syahwat tingkat jantan atas ejakulasi keras penis encang otot penis kendor besar kencang payudara,['Abusive Speech'],0,1,0,0,0
paham urus hijrah kabar orang alas go public rakyat jelata komentar,[],0,0,0,0,0
m rt tertawa rt anjeng babirt sepong kontol sengama ayo horny neh,['Abusive Speech'],0,1,0,0,0
buka instagram muncul lagu bobo lagu iya nya norak pamer payudara melulu laen joget nya lucinta luna goyang payudara wanita utuh nya malu kali,"['Hate Speech', 'Defamation']",1,0,0,0,1
orang semingu brisik langsung bacok gilir hari x brisik plus bangunin orang tidur ngebacok nang sekte pedofil saing,"['Hate Speech', 'SARA', 'Defamation']",1,0,1,0,1
urgent jawat kosong perlu alam qualification cukop pmr masuk jawat operator kilang tawar solar pen aparel sdn bhd sony matel sanmina sci perai laird technologies amphenol western digital flextronic panasonic bosch pkt asrama sedia angkut sedia patern shift jam minat detail nomor cik ayu mohon send your details as below name ic num phone num qualification ful alamat transport yes thankq,[],0,0,0,0,0
mane die erti bahase sumbang bilang die sengong suare e cekik biji leher e,[],0,0,0,0,0
iya to contoh bagus coba orang contoh ngevlog istana nanyajasih,[],0,0,0,0,0
fakta lelaki cewek batas tetek nya bin datar cewek fakta banci sederhana emak baba kartu keluarga kakak coba poto bagi identitas lanang,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
lucu benci lucinta luna kta nya benci suka nge coment mghina tau benci seseorg ikut instagram nya ikut giat nya lihat lucu sih suka seseorg instagram nya langsung blok biar lihat,[],0,0,0,0,0
moga tambah infrastruktur p muncul atlet atlet bakat papua pilih jokowi iya biar papua pembangunanya dasyat saman jokowi papua perhati selamat papua,"['Hate Speech', 'Defamation']",1,0,0,0,1
manusia slu pamer payudara yah gaya sengaja mancing pria banci jijik sok cantik,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
anjing memek rakit muka hasil op stidaknya suara asli bagus bagus tolol,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
kemarin khilafah diri indonesia pintu dibukain isis bom bunuh jakarta,"['Hate Speech', 'SARA', 'Radicalism']",1,0,1,1,0
ah kontol sodok memek tika ganas ah uhf kontol sodok anal tika oh lomba nyodoknya ah,['Abusive Speech'],0,1,0,0,0
nsebelum ikut orang blon baca rule dv nya anjing nsara hina sindir suku agama ras golong halus kasar frontal gambar boleh menyalahgunakan nama pangilan tokoh agama nabi tuhan malaikat et cetera contoh mamad kristol yesyes auloh awloh et cetera kalimat pancing sara contoh mamad pedofil muhamad istrina yesus zina hewan yesus sempak lainlain njangan agama anut rule dc larang anjink nmenghina sindir postingan fakta amp kenyat sih salah nkayak bilang maria sih lonte jaga perawan suci amp gampang rayu hamil nsedikitpun salah nfaktanya seorg anak gadis perawan jaga perawan suci amp gampang rayu hamil nkubilang lubang pantat ciri khas katolik salah nfaktanya lihat marak muka agama katolik pedofil gay perkosa sodomi rusuk lubang pantat anak laki gereja katolik nfaktanya paus sih bapa suci katolik mati lubang pantat tusuk pria muda nkubilang muslim paok salah nfaktanya kafir hebat kuasa ekonomi militer teknologi penduidikan dunia nkubilang ras huana indon paok salah nfaktanya warga datang ras cina ygj kuasa ekonomi amp majikan indonesia nmau larang capai kena abuse moderator sinophobia amp moderator kristen radikal muslim radikal,"['Hate Speech', 'Abusive Speech', 'SARA', 'Defamation']",1,1,1,0,1
ampun maf rakyat ngebuat adil buka liwat gera revolusi ganyang pki gaya cina pki,"['Hate Speech', 'SARA', 'Radicalism', 'Defamation']",1,0,1,1,1
mh lepas iya rok mini buka rok masuk kontol memek basah cium mh genjot sakit mh gede ah,['Abusive Speech'],0,1,0,0,0
jala banci hancur deh istri pagi brenang pakai ful make up ough skenario masuk akal,"['Hate Speech', 'Defamation']",1,0,0,0,1
lupa bom bunuh bawa viagra inex kondom orang bodo dibodohin kafir non muslim jihad bunuh masuk surga,"['Hate Speech', 'SARA', 'Radicalism', 'Defamation']",1,0,1,1,1
judul listing judul asli isi kotor kotor kotor kotor kotor kotor kotor kotor kotor kotor kotor kotor kotor kotor kotor kotor,"['Hate Speech', 'Defamation']",1,0,0,0,1
ganyang cina rt mnako kenan cina brengsek rt loha daeng brai rt halo mas mas kakak laki laki rt,"['Hate Speech', 'SARA', 'Radicalism', 'Defamation']",1,0,1,1,1
presiden titis kecebong nprabowo titis macan asia nhabibr rzieq titis mick jeger nahok titis mani encer,[],0,0,0,0,0
menang modal ayo gabung casinobola modal menang jutan rupiah pasti member setia casinobola jamin keuntunganya jenis main sportbok sbobet ibcbet maxbet casino bola tangkas poker toto gelap tembak ikan promo sedia bonus new member sportbok bonus new member casino bola tangkas bonus rolingan casino bonus referensi cashback sportbok mingu minimal deposit withdraw casinobola net contact us whatsap line asiapoker bahan bakar minyak bdd,[],0,0,0,0,0
dear mas fatah dosa pahala suntuk lari instagram cari komentar komentar lucu oke terima kasih mas,[],0,0,0,0,0
letak akar bawa judul oke rahmat lil alamin wujud khilafah arti khilafah mesti sejarah rosululah muhamad shalahu alaihi washalim aji,"['Hate Speech', 'Radicalism']",1,0,0,1,0
terap bilang gampang kali lupa x ambil diamon sdkit sih eksekusi terap terap gembok eksekusi sdkit sulit nyelonong masuk tertawa nada terap s belikn rokok bebas eksekusi ambil diamon hrn gembok ndan lm mis ambil diamon rom nawarin ml tips nya bilang cepe heran gembok ndan kam eksekusi nrezeki anak soleh tertawa,[],0,0,0,0,0
iya om kali kapitalisme kejam ganti sistem syariah islam dn pimpin negara khilafah sabda rasul,"['Hate Speech', 'Radicalism', 'Defamation']",1,0,0,1,1
dunia kontemporer sat laku delusional dunia maya ndelusional sakit kejiwan lebih kapasitas asli sifat delusif jumawa kenal batas pijakanya nmungkin alami mantan panglima tni gagal total nurmantryo pasal jenderal bintang pidato sama sahabat nabi khalid bin walid nsat kuliah had al zaytun indramayu pertanyan asa sat copot jabat panglima tni ndi sat sama khalid bin walid cerita kias akan kejar jabat apa abdi agama bangsa negara sebagaima khalid bin walid ntentu nyata segi substansi penyampaianya npertama kualitas banding sahabat nabi kapasitas pribadi layak sanding khalid bin walid nsahabat nabi sosok sholeh pribadi sosial lalu tindak tentang agama nberbeda milik hubung larang staf nkedua abdi agama bangsa negara aku lirik jabat apa nfaktanya jelang copot kemarin bukti menyakinkan manuver politik dekat basis islam simpati dapat dapat aksi jilid cekal as kataka isap jempol belaka aku main politik tindak muka dunia politik ndengan kontras perkatan tindakanya layak sama khalid bin walid sama hina kualitas sahabat nabi ndi sisi sifat delusional tampil sikap angkuh jumawa tempat tempat tingi rakyat indonesia pandang positif sosok pihak nbegitulah sifat delusif jatuh tokoh tipu mulut lam,[],0,0,0,0,0
aku transgender salat pakai sarung pakai kaum pria harga netizen media kenpa lutulang lunak tidk aku nya transgender,[],0,0,0,0,0
agama of peace kerja ngebom islam oknum oknum nya muncul wkwkwketauan ajaranya kriminal perang sih nmana terorisme katolik orang katolik dunia x muslim damai bantuin monyet eh refuge maksud tingal negara nkeliatan islam agama kafir wakakaeh sharing cewek muslim budak seks nkalo cowok muslim bakar marah,"['Hate Speech', 'Abusive Speech', 'SARA', 'Defamation']",1,1,1,0,1
striper banged a strapon by a hot female client brondongjkt ngewe bispakbandung porno bugil memek memeksempit memekabg fotomemek tetek colmek memekbecek memekgatal bokepabg bokepindo memekmerah sange abgmesum abgtoge bispak,['Abusive Speech'],0,1,0,0,0
kalah iya kalah hina negara bawa nama negara tanding international yah juang kuat tenaga kalah habis hardik negara cocok atlet sopir taksi sopir taksi laku sopan tumpang masak atlet dasar cundang lemah henti atlet sepak bola driver taksi,"['Hate Speech', 'Defamation']",1,0,0,0,1
waw pindah arab tertawa pemimpim muslim,[],0,0,0,0,0
tertawa gila langsung gosong rt amin iya sebentar papua rt,[],0,0,0,0,0
ganyang cina gantung bunuh lainlain ngusir orang salat ancem solatin mayat terima mayat lainlain dukung mas ayo coba,"['Hate Speech', 'SARA', 'Radicalism', 'Defamation']",1,0,1,1,1
hm heran kader partai adil sejahtera idola turki fustun turk mantap thumbup nairbagnya gede shakehand,[],0,0,0,0,0
nojo sara woi ngamuk turis mancanegara ngamuk nsemua sih mayoritas cek porno wanita lokal miskin coba kaya negara cewek bule bui sembah kulit putih ras iblis jajah,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
ku remas tetek iya van remas ah tetek serius van iya operasirt enak kali c,['Abusive Speech'],0,1,0,0,0
ludovic mohamed zahed abdi hidup juang hak kaum homoseksualitas islam juang berat risiko simak kisah nbutuh dekade yakin keluarga butuh keluarga imigran tunisia homoseksual layak hina pukul anjing pria gay martabat muslim tat nmendirikan masjid inklusif homosexual muslims of france diri masjid inklusif paris zahed masyarakat muslim historis toleran homoseksualitas ketimbang budaya kristen sahet gay tukang tipu tertawa nhidup ancam hadap perancis zahed kerap rim pesan pesan facebok tuding noda islam bakar neraka nmenikahi pasang zahed nikah pasanganya ibu hadir nikah ibu milik suami menginginkanya terima nmerasa undang lin zahed usaha tunjuk homoseksualitas islam kompatibel juang identitas belah agama perliaku seksualitas zahed sadar islam pegang pesan toleransi damai gay muslim nmelawan intoleransi sat zahed putus abdi hidup orang lawan interpretasi islam pikir tutup toleran fasis,[],0,0,0,0,0
rugi mikirlah contoh tari megang maf payudara bayang anak ngakunya artis jaga sikap papua hina orang indonesia marah,['Abusive Speech'],0,1,0,0,0
beli beli cela fitnas jatohnya alhamdulilah doa pindah kepala helmin otak ditaro dengkul tertawa,"['Hate Speech', 'Defamation']",1,0,0,0,1
iya iya sempurna laki laki beneran perempuan perempuan beneran situ mas fatah iya,[],0,0,0,0,0
cepat iya ayo jihad iya folowernya sih tanda angap musu,"['Hate Speech', 'Radicalism', 'Defamation']",1,0,0,1,1
grosir kartu kuota tsel gb rb gb rb gb rb al jaring g g minat sila chat pesan langsung whatsap,[],0,0,0,0,0
mikir urus orang urus urus nya kakak perempuan urus urus kakak perempuan biar hijrah nya,[],0,0,0,0,0
henti kambinghitamkan ateis laku ntidak ateis perang bela ateis lai ntidak ateis bom bunuh bukti tuhan nsekali,"['Hate Speech', 'SARA']",1,0,1,0,0
tingal jakarta ubah sadar akitbat gubernur,[],0,0,0,0,0
heh kontol jan sok mes rp muka memek orang tua monyet agama aje agama kontol,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
presiden joko widodo turun langsung komandan menteri bidang ekonomi atas anjlok nilai tukar rupiah dolar as,[],0,0,0,0,0
kirim foto bugil kerudung nohope nke orang turun nabi,['Abusive Speech'],0,1,0,0,0
nmeminjam imam syafi i kata hendak hina hormat diam orang hina singa laden keledai nmakanya ajar baca nyuruhnya baca baca baca baca baca iya baca,[],0,0,0,0,0
dual seks organ humans in pornography emo gay boy keras anal video gay indonesia sengama handgaged twink fucked twinks musturbation gaysex suits porn xgay amateur ten gay anals that bled pics gratis gay kis,['Abusive Speech'],0,1,0,0,0
sat patung tanda jasa indonesia madame tusaud,[],0,0,0,0,0
itusih dasar bodoh kali chatbox manado sumatera iya sorong jawa iya natuna papua iya,[],0,0,0,0,0
monyet bedes primitif rt lha iki monyet e rt dintimidasi kalah anjing sek gel karo papua,[],0,0,0,0,0
iya manusia ikut chalenge unfaedah lagu chalenge lagu,[],0,0,0,0,0
gerombol ganti asas pancasila khilafah basmi sebar benci palsu fitnah adudomba enyah negara satu republik indonesia,"['Hate Speech', 'Radicalism']",1,0,0,1,0
serang surah al qur an serang nabi nsetiap penistan agama tingkat hukumanya nmakanya mending caci maki non islam kafir masjid pakai toa kenceng penjara uang sumbang ceramah natau kesel bakar vihara penjara,"['Hate Speech', 'SARA']",1,0,1,0,0
alahuakbar alah rasululah sahabat tabin tega khilafah jamin hidup umat islam,"['Hate Speech', 'Radicalism']",1,0,0,1,0
line tiarakhrisma openvcs vcs videocalsex videobokep customer layan ps phonesex chatsex sange porno ngewe bisyar bispak bokepindo memekbasah taoge sengama testivcs testics testips testichatsexpic twiter com ncwcygatyb,['Abusive Speech'],0,1,0,0,0
bodoh saha khilafah bosan kali orang orang satu biar negara papua pisah negara satu republik indonesia aceh serambi mekah pisah negara satu republik indonesia biarin biar blangsak jabat gembel,"['Hate Speech', 'SARA', 'Radicalism', 'Defamation']",1,0,1,1,1
bunuh had ayo jihad rt nganti cekel seng hack facebok ku idak idak ndaze,[],0,0,0,0,0
dengar superman nposisinya nyebrang jalan plaza senayan senayan city jalan asia afrika ramai denger orang kecuali nen orang indonesia ngetawain orang tahu orang diketawain mah cari sensasi doank nmacam bapak diskriminasi orang tionghoa diy tanah jogjakarta,"['Hate Speech', 'SARA']",1,0,1,0,0
nklo nonton otaklu dipake njangan masuk tlinga kanan telinga kiri ngoblok ngue nontonya pakai otak sodomi emak tertawa nkenapa pakai otak selera payah muka tampang tki kasta emak tertawa,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
wow gila parah barang impor murah murah iya baju sepetu makeup sale cd impor soflen rban keren wajib ikut instagram iya ungah barang,[],0,0,0,0,0
suara jelek j ush deh single duet arts trnama malu j tutup aurat tetek umbar ngeliatnya jijik w sbagai perempuan j tolong dihentikn lucinta luna derajat perempuan direndahin,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
ciduk pikir rit ahahaha berita karang palsu murah orang mca mca iku gerak mau kordinasi ketua tim elite percaya berita beneran hahahaha bodoh,"['Hate Speech', 'Defamation']",1,0,0,0,1
ih paha sih cewek paha iya mah kaya tanga zigzag eh ups ceplos maf iya,"['Hate Speech', 'Defamation']",1,0,0,0,1
kaum ontanya kafir bos bodoh rt sat kafir temu cerah kaum onta nyimpan bom,"['Hate Speech', 'SARA', 'Radicalism', 'Defamation']",1,0,1,1,1
etis sih pideo klip luh kali bcakap nya ruang tamu kolam renang pakai baju renang aduh aduh malu in luh orang bentuk bokong mas simetris,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
negara angota pb peraturanya mustahil khilafah skr al mahdi rt,"['Hate Speech', 'Radicalism']",1,0,0,1,0
kampanye ras bicara nya ahok untung bodoh kafir untung perkosa bunuh enak duit,"['Hate Speech', 'SARA', 'Defamation']",1,0,1,0,1
font helvetica neue arial helvetica sans serif neue arial helvetica sans serif ingat dedy mizwar henti proyek meikarta font helvetica neue arial helvetica sans serif kabar meikarta font helvetica neue arial helvetica sans serif meikarta jalan jual masyarakat font helvetica neue arial helvetica sans serif misteri balik meikarta font helvetica neue arial helvetica sans serif warga jawa barat salah pilih pimpin njelas dedy mizwar penting penting pribadi dana dana kampanye pilgub jabar font helvetica neue arial helvetica sans serif baca lengkap sumber url,[],0,0,0,0,0
lho beda papua provinsi ibukotanya jayapura provinsi papua barat ibukotanya monokwari jngn bneran bodoh,"['Hate Speech', 'Defamation']",1,0,0,0,1
idih najis mah malam malam mca morinyo cyber army nmasih bela latih busetdah bagus apacoba nditanya sih morinyo taktik nditanya tujuanya ntrus tu orang mas mari nabis lihat komenya luka nothing but hormat orang nliat komentar morinyo match najis orang bela,[],0,0,0,0,0
biala inyo nan mati bia wak mancaliak mandi nyo,[],0,0,0,0,0
halah sa dengar ceramah ustaz doyan kawin suka ny cantik logikany becus kelg ny nasehatin umat ceramahin biar doyan kawin,"['Hate Speech', 'Defamation']",1,0,0,0,1
baca kotor bicara rusuh papua sanksi tertawa sanksi aspek arema bodoh,[],0,0,0,0,0
uclim khusunya mca suporter bilang mujahid densus mampus ntapi ujung ujung bilang ulah ahoker bebas ahok mako brimob kait rad ahok ntah tutup biadab saudara,[],0,0,0,0,0
debat khilafah parah nasionalisme dasar klan tribe sjahrir dasar kemanusian,"['Hate Speech', 'Radicalism']",1,0,0,1,0
sodom trans alah marah nurunin azab kena,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
jari kaki telapak nya laki gerat paha nya asa aneh pohon palm botol kurus pingul mentol hagagagag,"['Hate Speech', 'Defamation']",1,0,0,0,1
halo siang kakak cari lowong kerja kerja samping ngerepotin orang tua nambah ekonomi keluarga kuliah penganguran sekolah rumah tanga profesi solusi kerja santai mainin gawai tidur modal receh hasil muas halal modal rb umur hidup minat join chat whatsap,[],0,0,0,0,0
aduh kesal sara nkalo suka sara mengangap islam radikal ektrimis pindah negeri perintah usaha ayom komentar rusak situasi nmengayomi aku ulang ulang non islam jijik represif islam umat nsuruh tanah tumpah darah perang,"['Hate Speech', 'SARA', 'Radicalism', 'Defamation']",1,0,1,1,1
iya kakak laki laki coba komentar salah postinganya blok id tolong akun agama cek mengangap sebar fitnah,[],0,0,0,0,0
konflik papua selesai rt warga papua hepi makmur pisah negara satu republik indonesia lepas sikap,[],0,0,0,0,0
sori salah lihat iya paha pantat aneh sumpah dexh betis paha pantat nyambung aneh,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
awas cewek mulus bugil ngangkang remas susu mantap jiwa situs majalah pria dewasa indonesia,['Abusive Speech'],0,1,0,0,0
bahan coli seksi bispak birah tetek puting jilmek seks kontol bokepsemi bokepindo sepong amoy bisyar lonte jarang belai ejakulasi igo amoysange panlok sange ngewe memek tante sengama seks janda twiter com ufcypkurq,['Abusive Speech'],0,1,0,0,0
tante sepi cewek puas vcs phonesex privasi aman whatsap khusus cewek vcskuy tantesange tantebinal ceweksange memekbasah memektembem memekmerah vcsgratis bobekasi bobandung,['Abusive Speech'],0,1,0,0,0
lilit maksiyat nerapin maksiyat sistem a sistem ganti khilafah,"['Hate Speech', 'Radicalism']",1,0,0,1,0
maksud gambar yah heran mknya masyarakat duk ormas radikal dunk nti usir orang kafir he,"['Hate Speech', 'Radicalism']",1,0,0,1,0
alhamdulilah indonesia peringkat negara rakyat nya peduli agama tempat cina pic twiter com arsdrsgwt,[],0,0,0,0,0
administrator tangkap berita kasi saudaraq iman imanya bakar penting pribadi,[],0,0,0,0,0
coba mangap cermin lihat gigi saksama buka video op memek aku ah plintir leher plintir manjah,"['Hate Speech', 'Defamation']",1,0,0,0,1
aneh foto kaya buram iya biar tahu edit kali iya,[],0,0,0,0,0
kainya harga segitu bagunan kabah nmendingan potong kabah jual hasil bantuin palestina,[],0,0,0,0,0
sembah sujut ala sih jin maha asih ular titah suci bunuh kafir tumbal kambing lahir nyepi,[],0,0,0,0,0
ondespot silikon daerah pingul pantat tua seprti badan susut kurus silikon keri,[],0,0,0,0,0
sidangahok moga sipenista agama ateknya mati wjar jasad dtrma tanah mrs surga amin moga tuhan tuju,"['Hate Speech', 'Radicalism', 'Defamation']",1,0,0,1,1
iya ampyun pantat ayam potong glewer yaiyalah isix silikon daging beda iya ciptan alah ciptan dokter baek ntr pecah silikonx mas,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
bentuk khilafah palestine merdeka juang khilafah rela mati hidup khilafah ledak bom bunuh indonesia pergi bantu palestina ledak bom wilayah israel,"['Hate Speech', 'Radicalism', 'Defamation']",1,0,0,1,1
pagi lihat foto memek pacar sange kontol sengaja denyut eh sentuh ngecrot beneran,['Abusive Speech'],0,1,0,0,0
senang bahagia datang raja salman bin abdul aziz al su indonesia pic twiter com tskxgldmhz,[],0,0,0,0,0
beliau mantan presiden keistimawan kawal ajudan lumrah presiden,[],0,0,0,0,0
mas kalah kowi ganteng nkata nastaik kowi nabi yusuf tertawa tertawa nya terima ganteng baik modal imlek,[],0,0,0,0,0
